timestamp,nav,cash,gross_exposure,net_exposure,leverage,daily_pnl,drawdown
1546387200000000000,1e+06,1e+06,0,0,0,0,0
1546473600000000000,1e+06,1e+06,0,0,0,0,0
1546560000000000000,1e+06,1e+06,0,0,0,0,0
1546646400000000000,1e+06,1e+06,0,0,0,0,0
1546732800000000000,1e+06,1e+06,0,0,0,0,0
1546819200000000000,1e+06,1e+06,0,0,0,0,0
1546905600000000000,1e+06,1e+06,0,0,0,0,0
1546992000000000000,1e+06,1e+06,0,0,0,0,0
1547078400000000000,1e+06,1e+06,0,0,0,0,0
1547164800000000000,1e+06,1e+06,0,0,0,0,0
1547251200000000000,1e+06,1e+06,0,0,0,0,0
1547337600000000000,1e+06,1e+06,0,0,0,0,0
1547424000000000000,1e+06,1e+06,0,0,0,0,0
1547510400000000000,1e+06,1e+06,0,0,0,0,0
1547596800000000000,1e+06,1e+06,0,0,0,0,0
1547683200000000000,1e+06,1e+06,0,0,0,0,0
1547769600000000000,1e+06,1e+06,0,0,0,0,0
1547856000000000000,1e+06,1e+06,0,0,0,0,0
1547942400000000000,1e+06,1e+06,0,0,0,0,0
1548028800000000000,1e+06,1e+06,0,0,0,0,0
1548115200000000000,1e+06,1e+06,0,0,0,0,0
1548201600000000000,1e+06,1e+06,0,0,0,0,0
1548288000000000000,1e+06,1e+06,0,0,0,0,0
1548374400000000000,1e+06,1e+06,0,0,0,0,0
1548460800000000000,1e+06,1e+06,0,0,0,0,0
1548547200000000000,1e+06,1e+06,0,0,0,0,0
1548633600000000000,1e+06,1e+06,0,0,0,0,0
1548720000000000000,1e+06,1e+06,0,0,0,0,0
1548806400000000000,1e+06,1e+06,0,0,0,0,0
1548892800000000000,1e+06,1e+06,0,0,0,0,0
1548979200000000000,1e+06,1e+06,0,0,0,0,0
1549065600000000000,1e+06,1e+06,0,0,0,0,0
1549152000000000000,1e+06,1e+06,0,0,0,0,0
1549238400000000000,1e+06,1e+06,0,0,0,0,0
1549324800000000000,1e+06,1e+06,0,0,0,0,0
1549411200000000000,1e+06,1e+06,0,0,0,0,0
1549497600000000000,1e+06,1e+06,0,0,0,0,0
1549584000000000000,1e+06,1e+06,0,0,0,0,0
1549670400000000000,1e+06,1e+06,0,0,0,0,0
1549756800000000000,1e+06,1e+06,0,0,0,0,0
1549843200000000000,1e+06,1e+06,0,0,0,0,0
1549929600000000000,1e+06,1e+06,0,0,0,0,0
1550016000000000000,1e+06,1e+06,0,0,0,0,0
1550102400000000000,1e+06,1e+06,0,0,0,0,0
1550188800000000000,1e+06,1e+06,0,0,0,0,0
1550275200000000000,1e+06,1e+06,0,0,0,0,0
1550361600000000000,1e+06,1e+06,0,0,0,0,0
1550448000000000000,1e+06,1e+06,0,0,0,0,0
1550534400000000000,1e+06,1e+06,0,0,0,0,0
1550620800000000000,1e+06,1e+06,0,0,0,0,0
1550707200000000000,999840,926644,73196.4,73196.4,0.0732081,-159.523,0.000159523
1550793600000000000,999692,683080,316612,316612,0.31671,-148.335,0.000307858
1550880000000000000,1.00169e+06,683080,318605,318605,0.318069,1993.2,0
1550966400000000000,1.00254e+06,709705,292833,292833,0.292092,852.28,0
1551052800000000000,1.00035e+06,709705,290650,290650,0.290547,-2183.11,0.00217759
1551139200000000000,1.00025e+06,709705,290548,290548,0.290475,-101.51,0.00227884
1551225600000000000,1.00166e+06,709705,291955,291955,0.291472,1407.09,0.000875313
1551312000000000000,1.00411e+06,709705,294409,294409,0.293203,2453.42,0
1551398400000000000,1.00506e+06,709705,295358,295358,0.29387,948.724,0
1551484800000000000,1.00364e+06,837676,165968,165968,0.165366,-1418.59,0.00141144
1551571200000000000,1.00515e+06,837676,167476,167476,0.166618,1507.87,0
1551657600000000000,1.00466e+06,837676,166985,166985,0.166211,-490.555,0.000488041
1551744000000000000,1.0034e+06,837676,165720,165720,0.165159,-1265.72,0.00174727
1551830400000000000,1.00343e+06,837676,165752,165752,0.165186,32.6636,0.00171477
1551916800000000000,1.00283e+06,837676,165152,165152,0.164686,-600.743,0.00231244
1552003200000000000,1.00259e+06,837676,164918,164918,0.164492,-233.285,0.00254453
1552089600000000000,1.00231e+06,748537,253778,253778,0.253192,-278.892,0.00282199
1552176000000000000,1.00233e+06,748537,253797,253797,0.253206,19.3471,0.00280274
1552262400000000000,1.00092e+06,748537,252383,252383,0.252151,-1414.39,0.00420988
1552348800000000000,1.00083e+06,748537,252288,252288,0.25208,-94.461,0.00430386
1552435200000000000,1.00108e+06,748537,252540,252540,0.252269,251.823,0.00405332
1552521600000000000,1.00082e+06,591344,409477,409477,0.409141,-256.609,0.00430862
1552608000000000000,1.00057e+06,678291,322281,322281,0.322096,-248.907,0.00455625
1552694400000000000,1.00065e+06,835520,165134,165134,0.165026,81.9842,0.00447469
